tick,solar-luminosity,global-temperature,population,black-number,white-number
0,0.8,0,336,168,168
1,0.8,12.9307516092479,498,343,155
2,0.8,17.841999171440506,735,588,147
3,0.8,22.572198764675523,809,670,139
4,0.8,25.606000227237146,826,692,134
5,0.8,27.339155020752408,831,702,129
6,0.8,28.419267788481264,830,707,123
7,0.8,29.1102690895717,831,712,119
8,0.8,29.72447464575838,829,714,115
9,0.8,30.09804465001609,829,717,112
10,0.8,30.488691194023815,826,720,106
11,0.8,30.937550170957007,830,727,103
12,0.8,31.338813331624962,832,736,96
13,0.8,31.75709168070039,833,740,93
14,0.8,32.21399097081085,826,742,84
15,0.8,32.80523785308121,824,746,78
16,0.8,33.31988267618612,828,754,74
17,0.8,33.785031553042074,820,756,64
18,0.8,34.45401570556995,825,764,61
19,0.8,34.88983619080587,823,769,54
20,0.8,35.429863484618814,825,777,48
21,0.8,35.947647152679615,820,778,42
22,0.8,36.4629707784496,814,784,30
23,0.8,37.2158035487738,816,794,22
24,0.8,37.92782202042157,807,791,16
25,0.8,38.41023311393603,616,602,14
26,0.8,37.06935612846978,421,400,21
27,0.8,34.13105896581691,426,396,30
28,0.8,32.328713292644956,540,496,44
29,0.8,32.00260407059856,643,591,52
30,0.8,32.61640466462564,728,676,52
31,0.8,33.60625343411262,789,739,50
32,0.8,34.64435791770153,812,762,50
33,0.8,35.25990794625612,815,766,49
34,0.8,35.63873594563148,812,764,48
35,0.8,35.825535090910996,806,759,47
36,0.8,35.92026142821134,803,756,47
37,0.8,35.94932380993952,803,758,45
38,0.8,36.063907965460665,805,760,45
39,0.8,36.09144257431749,797,753,44
40,0.8,36.094490069012515,790,747,43
41,0.8,36.09979611099824,794,751,43
42,0.8,36.136407249676175,785,742,43
43,0.8,36.0905694886009,783,740,43
44,0.8,36.05492976599016,784,741,43
45,0.8,35.999345982965906,784,741,43
46,0.8,35.984925435531075,783,739,44
47,0.8,35.93200066193453,781,738,43
48,0.8,35.960734488485826,782,740,42
49,0.8,35.992821746802484,779,739,40
50,0.8,36.057385267196395,733,699,34
51,0.8,36.181935610523425,686,659,27
52,0.8,36.14978921745668,597,582,15
53,0.8,35.977402238035545,551,544,7
54,0.8,35.71830865467165,520,512,8
55,0.8,35.227043473755934,499,491,8
56,0.8,34.694552072914156,531,522,9
57,0.8,34.70384005622186,574,565,9
58,0.8,35.057440963318165,614,605,9
59,0.8,35.653639980791944,654,645,9
60,0.8,36.304301888688634,694,685,9
61,0.8,36.96848758584785,716,707,9
62,0.8,37.473864413252045,728,719,9
63,0.8,37.79855068502297,749,739,10
64,0.8,38.02668902227032,752,741,11
65,0.8,38.18003483552715,752,741,11
66,0.8,38.323981565005205,761,750,11
67,0.8,38.40587300435038,758,747,11
68,0.8,38.422062136930336,750,739,11
69,0.8,38.3703515784328,751,740,11
70,0.8,38.332040376904864,745,735,10
71,0.8,38.28561518066289,735,725,10
72,0.8,38.19056628555169,731,721,10
73,0.8,38.089855591697365,734,724,10
74,0.8,38.09516753717735,729,720,9
75,0.8,38.0990943802996,695,688,7
76,0.8,37.92627616874705,655,650,5
77,0.8,37.59492599553646,601,596,5
78,0.8,36.95637742704477,565,561,4
79,0.8,36.3238843879261,534,529,5
80,0.8,35.70816574656306,500,494,6
81,0.8,35.03289563948597,468,463,5
82,0.8,34.41902828227343,454,448,6
83,0.8,34.03411295660299,447,440,7
84,0.8,33.76121919595788,438,431,7
85,0.8,33.512958044628704,459,452,7
86,0.8,33.61917326147408,485,478,7
87,0.8,33.796294553691126,497,491,6
88,0.8,34.08584837957608,526,521,5
89,0.8,34.500078389044155,547,542,5
90,0.8,34.87284027048216,557,552,5
91,0.8,35.13378898187801,578,573,5
92,0.8,35.44198573540435,597,592,5
93,0.8,35.74105416755375,606,601,5
94,0.8,36.01920301293699,625,620,5
95,0.8,36.31235443985082,642,637,5
96,0.8,36.62766532399717,653,648,5
97,0.8,36.83907121660264,660,655,5
98,0.8,37.053500922378284,669,664,5
99,0.8,37.19177529774033,667,662,5
100,0.8,37.30614609193855,675,670,5
101,0.8,37.392652091480855,666,661,5
102,0.8,37.35867049493749,646,641,5
103,0.8,37.15122502192809,632,628,4
104,0.8,37.00538096971066,608,606,2
105,0.8,36.81084653092623,596,594,2
106,0.8,36.6271072010123,579,578,1
107,0.8,36.42667054319636,550,550,0
108,0.8,36.13987386081885,523,523,0
109,0.8,35.77664198425724,486,486,0
110,0.8,35.24515008711897,449,449,0
111,0.8,34.65999832229031,425,425,0
112,0.8,34.15860780892928,399,399,0
113,0.8,33.71809765583638,384,384,0
114,0.8,33.3013725756659,370,370,0
115,0.8,32.966293487801835,357,357,0
116,0.8,32.661215111186195,347,347,0
117,0.8,32.45785745056453,346,346,0
118,0.8,32.38339030559166,338,338,0
119,0.8,32.25719222083748,342,342,0
120,0.8,32.25947606078845,342,342,0
121,0.8,32.22686293481416,337,337,0
122,0.8,32.13729530586691,338,338,0
123,0.8,32.147983671119825,345,345,0
124,0.8,32.22140423464164,341,341,0
125,0.8,32.19986985528024,347,347,0
126,0.8,32.28506850460625,355,355,0
127,0.8,32.337746535210606,358,358,0
128,0.8,32.4130799396345,364,364,0
129,0.8,32.49592519584763,362,362,0
130,0.8,32.55701326137232,362,362,0
131,0.8,32.607857734107014,373,373,0
132,0.8,32.71115436107261,375,375,0
133,0.8,32.762906477592914,373,373,0
134,0.8,32.78506724061693,372,372,0
135,0.8,32.800748396052775,375,375,0
136,0.8,32.844189130076096,381,381,0
137,0.8,32.90405546782411,381,381,0
138,0.8,32.901813389425875,391,391,0
139,0.8,32.97056735480779,399,399,0
140,0.8,33.11489226152692,406,406,0
141,0.8,33.25671513407218,414,414,0
142,0.8,33.376454670693285,422,422,0
143,0.8,33.52167803334739,421,421,0
144,0.8,33.524076927527226,423,423,0
145,0.8,33.55399213452388,433,433,0
146,0.8,33.65594755168641,436,436,0
147,0.8,33.734868859481104,447,447,0
148,0.8,33.83580885717604,449,449,0
149,0.8,33.86899081406188,445,445,0
150,0.8,33.9807079704085,461,461,0
151,0.8,34.104007906988336,479,479,0
152,0.8,34.37102210170336,494,494,0
153,0.8,34.63938859433115,512,512,0
154,0.8,34.86245545064386,513,513,0
155,0.8,34.948898320808574,502,502,0
156,0.8,34.91104493699757,505,505,0
157,0.8,34.89042470701545,509,509,0
158,0.8,34.9580160790923,529,529,0
159,0.8,35.18749994382898,541,541,0
160,0.8,35.38375382774073,540,540,0
161,0.8,35.49065773411289,538,538,0
162,0.8,35.55298734688262,543,543,0
163,0.8,35.59135136306078,540,540,0
164,0.8,35.55588706013708,540,540,0
165,0.8,35.55303708371478,529,529,0
166,0.8,35.475473374505604,515,515,0
167,0.8,35.278183363243144,502,502,0
168,0.8,35.11289670732037,497,497,0
169,0.8,34.951549778926754,487,487,0
170,0.8,34.78151920848802,476,476,0
171,0.8,34.6503545984428,472,472,0
172,0.8,34.52985847350137,465,465,0
173,0.8,34.42406103074801,469,469,0
174,0.8,34.43699010554094,452,452,0
175,0.8,34.231494340855505,449,449,0
176,0.8,34.167924256490934,446,446,0
177,0.8,34.107188486195106,438,438,0
178,0.8,33.925095963163216,432,432,0
179,0.8,33.877637989803794,455,455,0
180,0.8,34.022173225984666,460,460,0
181,0.8,34.15634639253095,464,464,0
182,0.8,34.280032949034855,457,457,0
183,0.8,34.27640525933926,457,457,0
184,0.8,34.26985395207008,458,458,0
185,0.8,34.218642636819524,457,457,0
186,0.8,34.22271716823778,451,451,0
187,0.8,34.14518175371007,451,451,0
188,0.8,34.13497578145884,462,462,0
189,0.8,34.19681015538808,463,463,0
190,0.8,34.235718689997725,474,474,0
191,0.8,34.31661254275957,479,479,0
192,0.8,34.40966228871405,478,478,0
193,0.8,34.45397378602601,480,480,0
194,0.8,34.475905832007676,491,491,0
195,0.8,34.65214755582905,493,493,0
196,0.8,34.749192583522415,507,507,0
197,0.8,34.8689145971256,510,510,0
198,0.8,34.980472997752784,517,517,0
199,0.8,35.070706356489374,512,512,0
200,0.8,35.054776696940486,502,502,0
201,0.8,34.981100063484654,504,504,0
202,0.8,34.964292959412944,515,515,0
203,0.8,35.06990259331586,504,504,0
204,0.8,35.00119598688137,502,502,0
205,0.8,34.944353471711565,500,500,0
206,0.8,34.864683133684345,492,492,0
207,0.8,34.78524519307059,482,482,0
208,0.8,34.661080107727585,482,482,0
209,0.8,34.604177564116284,487,487,0
210,0.8,34.58499525762853,485,485,0
211,0.8,34.61046845873458,489,489,0
212,0.8,34.61480967439485,474,474,0
213,0.8,34.50972057339994,479,479,0
214,0.8,34.506008849008175,474,474,0
215,0.8,34.42500449879644,472,472,0
216,0.8,34.4368077095279,482,482,0
217,0.8,34.459499573244734,476,476,0
218,0.8,34.4114844367244,468,468,0
219,0.8,34.34202066088876,461,461,0
220,0.8,34.28601898514408,452,452,0
221,0.8,34.15245322436552,455,455,0
222,0.8,34.15490857418284,458,458,0
223,0.8,34.170497477614475,455,455,0
224,0.8,34.18308710352857,464,464,0
225,0.8,34.235180409936625,462,462,0
226,0.8,34.24584813737086,450,450,0
227,0.8,34.15404295414565,441,441,0
228,0.8,34.03006718593855,437,437,0
229,0.8,33.938370658905534,446,446,0
230,0.8,33.97076463335098,452,452,0
231,0.8,34.0961594903724,460,460,0
232,0.8,34.2258874959418,461,461,0
233,0.8,34.30033482545416,459,459,0
234,0.8,34.27778103340138,456,456,0
235,0.8,34.2110974967784,446,446,0
236,0.8,34.103000873599726,441,441,0
237,0.8,34.053566043320046,440,440,0
238,0.8,33.96361982692226,436,436,0
239,0.8,33.92652336191398,437,437,0
240,0.8,33.88157578014055,421,421,0
241,0.8,33.72085147546606,427,427,0
242,0.8,33.72582582317404,430,430,0
243,0.8,33.75900007530923,437,437,0
244,0.8,33.80789798071623,438,438,0
245,0.8,33.86304886114768,428,428,0
246,0.8,33.78831395693259,416,416,0
247,0.8,33.60644012932367,411,411,0
248,0.8,33.536518802461536,408,408,0
249,0.8,33.495401233577596,404,404,0
250,0.8,33.37889903904635,416,416,0
251,0.8,33.49839862772739,431,431,0
252,0.8,33.66169094276423,438,438,0
253,0.8,33.796724368414054,433,433,0
254,0.8,33.78862814710992,425,425,0
255,0.8,33.67751939254335,423,423,0
256,0.8,33.61902298054621,424,424,0
257,0.8,33.63170577240235,429,429,0
258,0.8,33.69914335146812,431,431,0
259,0.8,33.757921616253135,449,449,0
260,0.8,33.96006960195817,467,467,0
261,0.8,34.18734535536513,466,466,0
262,0.8,34.23436470789271,458,458,0
263,0.8,34.217044256182895,461,461,0
264,0.8,34.193876049524114,469,469,0
265,0.8,34.324548325941684,473,473,0
266,0.8,34.39201396460786,480,480,0
267,0.8,34.46557284211589,471,471,0
268,0.8,34.42272993029201,470,470,0
269,0.8,34.36392318987469,473,473,0
